observation_date,CPALTT01USM657N
2015-02-01,0.4343044923772059751
2015-03-01,0.5951721611097321452
2015-04-01,0.2032873254587689027
2015-05-01,0.5097232025494690122
2015-06-01,0.3502869998528119755
2015-07-01,0.0067047159295661003
2015-08-01,-0.1416276282819350085
2015-09-01,-0.1556756575303590018
2015-10-01,-0.0449683750446447025
2015-11-01,-0.2110680379081459890
2015-12-01,-0.3417096437118660179
2016-01-01,0.1653102209068680051
2016-02-01,0.0823076533454984993
2016-03-01,0.4306000143392679225
2016-04-01,0.4741067979104000019
2016-05-01,0.4045790998115170178
2016-06-01,0.3284366167281879134
2016-07-01,-0.1618136404749810076
2016-08-01,0.0918430107884497943
2016-09-01,0.2403995864628979962
2016-10-01,0.1246748513014319937
2016-11-01,-0.1555460867335139996
2016-12-01,0.0327321392317517015
2017-01-01,0.5827727890254590370
2017-02-01,0.3146117386416659722
2017-03-01,0.0812797871947232020
2017-04-01,0.2965533365326880055
2017-05-01,0.0854721826896363002
2017-06-01,0.0907111014861139014
2017-07-01,-0.0689922638852294989
2017-08-01,0.2994452297108570193
2017-09-01,0.5294905893230339444
2017-10-01,-0.0632042103727645938
2017-11-01,0.0024324685907436000
2017-12-01,-0.0587832277262300001
2018-01-01,0.5447745452775409891
2018-02-01,0.4534689974865500073
2018-03-01,0.2261125904149038912
2018-04-01,0.3975091563348929768
2018-05-01,0.4158916925435000023
2018-06-01,0.1593875701543719936
2018-07-01,0.0067463262285170997
2018-08-01,0.0555542328357295015
2018-09-01,0.1162025175890250006
2018-10-01,0.1766763455725869902
2018-11-01,-0.3349348518100969119
2018-12-01,-0.3193962815131090038
2019-01-01,0.1906596665246839128
2019-02-01,0.4227053140096920236
2019-03-01,0.5641358356805770136
2019-04-01,0.5295001612890739562
2019-05-01,0.2128758589384109889
2019-06-01,0.0199147181481603985
2019-07-01,0.1670941622453379904
2019-08-01,-0.0050668236082817997
2019-09-01,0.0783448576930001056
2019-10-01,0.2286190552229999950
2019-11-01,-0.0536243034669465005
2019-12-01,-0.0909769525053792938
2020-01-01,0.3879769937814869785
2020-02-01,0.2740618131495429766
2020-03-01,-0.2176451031784789047
2020-04-01,-0.6686941866997180295
2020-05-01,0.0019501616684046001
2020-06-01,0.5472046927775109371
2020-07-01,0.5058243501670088849
2020-08-01,0.3153210524081270227
2020-09-01,0.1392746943266600090
2020-10-01,0.0414937759336148002
2020-11-01,-0.0610627217844137982
2020-12-01,0.0941478467042596995
2021-01-01,0.4253783487027260057
2021-02-01,0.5474382793923440182
2021-03-01,0.7083273133749509176
2021-04-01,0.8218909154060060063
2021-05-01,0.8017105154762700359
2021-06-01,0.9290662902357039732
2021-07-01,0.4810523526294039898
2021-08-01,0.2065911363611609985
2021-09-01,0.2715970859058209896
2021-10-01,0.8308118552003179724
2021-11-01,0.4913427504347619990
2021-12-01,0.3072517161483570014
2022-01-01,0.8414573783545228336
2022-02-01,0.9133979256476969510
2022-03-01,1.3351379548562698485
2022-04-01,0.5582531025654970946
2022-05-01,1.1023523999598801026
2022-06-01,1.3736075758819898951
2022-07-01,-0.0118119138337544997
2022-08-01,-0.0354399276350673004
2022-09-01,0.2150784513001038900
2022-10-01,0.4056494434112210001
2022-11-01,-0.1010026441888139948
2022-12-01,-0.3070091464541119808
2023-01-01,0.7995363834540170078
2023-02-01,0.5582110505732300609
2023-03-01,0.3310729956123049100
2023-04-01,0.5059038683258400004
2023-05-01,0.2518435010202410007
2023-06-01,0.3228914236486449818
2023-07-01,0.1907515019222698893
2023-08-01,0.4367155068353529845
2023-09-01,0.2485131552376499131
2023-10-01,-0.0383379522984981028
2023-11-01,-0.2015139548413560078
2023-12-01,-0.0993320327893392058
2024-01-01,0.5447503797930419722
2024-02-01,0.6189671775550720234
